scenario,measurement_sd,K,Group,N,observed_BMI_min,observed_BMI_max,group_curve_cost,cutpoints
no_error,0.0,3,1,158,20.703125,32.05128205,0.4689172902947121,32.0932; 35.2209
no_error,0.0,3,2,79,32.1350948388576,35.15625,0.20725727817557527,32.0932; 35.2209
no_error,0.0,3,3,30,35.2854862281454,46.875,4.133867995624712,32.0932; 35.2209
measurement_0_75,0.004594908737753754,3,1,158,20.703125,32.05128205,0.45902605241167294,32.0932; 35.2209
measurement_0_75,0.004594908737753754,3,2,79,32.1350948388576,35.15625,0.20290521189986066,32.0932; 35.2209
measurement_0_75,0.004594908737753754,3,3,30,35.2854862281454,46.875,3.977366140145591,32.0932; 35.2209
measurement_1_00,0.006126544983671672,3,1,158,20.703125,32.05128205,0.4521812779832999,32.0932; 35.2209
measurement_1_00,0.006126544983671672,3,2,79,32.1350948388576,35.15625,0.19987840171404514,32.0932; 35.2209
measurement_1_00,0.006126544983671672,3,3,30,35.2854862281454,46.875,3.8615948457899094,32.0932; 35.2209
measurement_1_25,0.00765818122958959,3,1,158,20.703125,32.05128205,0.4443176120901171,32.0932; 35.2209
measurement_1_25,0.00765818122958959,3,2,79,32.1350948388576,35.15625,0.19638007202172503,32.0932; 35.2209
measurement_1_25,0.00765818122958959,3,3,30,35.2854862281454,46.875,3.7204609264397277,32.0932; 35.2209
