"GA","BMI","eta_base"
10,20.7,-3.13438941942807
10.1,20.7,-3.12695325712808
10.2,20.7,-3.11951709482809
10.3,20.7,-3.1120809325281
10.4,20.7,-3.10464477022812
10.5,20.7,-3.09720860792813
10.6,20.7,-3.08977244562814
10.7,20.7,-3.08233628332815
10.8,20.7,-3.07490012102816
10.9,20.7,-3.06746395872817
11,20.7,-3.06002779642818
11.1,20.7,-3.05259177292737
11.2,20.7,-3.04515661941755
11.3,20.7,-3.03772383116618
11.4,20.7,-3.03029567668649
11.5,20.7,-3.02287516204474
11.6,20.7,-3.01546592700622
11.7,20.7,-3.00807215382636
11.8,20.7,-3.0006985226645
11.9,20.7,-2.99335014162421
12,20.7,-2.98603245704847
12.1,20.7,-2.97875120288292
12.2,20.7,-2.97151234629358
12.3,20.7,-2.96432201142361
12.4,20.7,-2.95718642926285
12.5,20.7,-2.95011188671728
12.6,20.7,-2.9431046657215
12.7,20.7,-2.93617099934875
12.8,20.7,-2.92931702538959
12.9,20.7,-2.92254873166289
13,20.7,-2.91587192361458
13.1,20.7,-2.90929218776428
13.2,20.7,-2.90281483660962
13.3,20.7,-2.89644488656928
13.4,20.7,-2.89018703500772
13.5,20.7,-2.88404560954137
13.6,20.7,-2.87802454536744
13.7,20.7,-2.87212737932448
13.8,20.7,-2.86635721233709
13.9,20.7,-2.86071667638604
14,20.7,-2.85520794493943
14.1,20.7,-2.84983271398447
14.2,20.7,-2.84459216040166
14.3,20.7,-2.83948695964225
14.4,20.7,-2.83451728615008
14.5,20.7,-2.82968277695812
14.6,20.7,-2.82498251506991
14.7,20.7,-2.82041475580831
14.8,20.7,-2.81597700643023
14.9,20.7,-2.81166623330807
15,20.7,-2.80747890268076
15.1,20.7,-2.80341098009579
15.2,20.7,-2.79945791216449
15.3,20.7,-2.79561466688608
15.4,20.7,-2.7918757510956
15.5,20.7,-2.7882351974287
15.6,20.7,-2.78468659362128
15.7,20.7,-2.78122311645611
15.8,20.7,-2.7778375324074
15.9,20.7,-2.77452221244625
16,20.7,-2.77126917644161
16.1,20.7,-2.76807010807754
16.2,20.7,-2.7649163630035
16.3,20.7,-2.76179901377228
16.4,20.7,-2.75870887568665
16.5,20.7,-2.75563651905982
16.6,20.7,-2.75257230632711
16.7,20.7,-2.74950642566027
16.8,20.7,-2.74642891038934
16.9,20.7,-2.74332966957666
17,20.7,-2.74019852405868
17.1,20.7,-2.73702523054279
17.2,20.7,-2.73379951169255
17.3,20.7,-2.73051108989323
17.4,20.7,-2.72714971221944
17.5,20.7,-2.72370518263684
17.6,20.7,-2.72016739411318
17.7,20.7,-2.71652635072707
17.8,20.7,-2.71277219873506
17.9,20.7,-2.70889526234776
18,20.7,-2.70488606003582
18.1,20.7,-2.70073532975594
18.2,20.7,-2.69643413732499
18.3,20.7,-2.69197494173602
18.4,20.7,-2.68735142085768
18.5,20.7,-2.68255758156782
18.6,20.7,-2.67758748073557
18.7,20.7,-2.67243535857896
18.8,20.7,-2.66709583906176
18.9,20.7,-2.66156396174391
19,20.7,-2.65583517407618
19.1,20.7,-2.64990535004152
19.2,20.7,-2.64377083039419
19.3,20.7,-2.63742841045495
19.4,20.7,-2.63087534301627
19.5,20.7,-2.62410937602215
19.6,20.7,-2.6171287502147
19.7,20.7,-2.60993218458499
19.8,20.7,-2.6025189006195
19.9,20.7,-2.59488863703736
20,20.7,-2.58704162096957
20.1,20.7,-2.57897857422649
20.2,20.7,-2.57070073930983
20.3,20.7,-2.56220984696285
20.4,20.7,-2.55350810496175
20.5,20.7,-2.54459822007118
20.6,20.7,-2.53548337702577
20.7,20.7,-2.52616721014844
20.8,20.7,-2.51665381145642
20.9,20.7,-2.50694772580355
21,20.7,-2.4970539104586
21.1,20.7,-2.48697772722018
21.2,20.7,-2.47672494618396
21.3,20.7,-2.46630170370356
21.4,20.7,-2.45571448087089
21.5,20.7,-2.44497010304368
21.6,20.7,-2.4340757071574
21.7,20.7,-2.42303870876224
21.8,20.7,-2.41186679168951
21.9,20.7,-2.40056788539238
22,20.7,-2.38914984165691
22.1,20.7,-2.37761978056115
22.2,20.7,-2.36598480498439
22.3,20.7,-2.354252147798
22.4,20.7,-2.34242911782376
22.5,20.7,-2.33052302618239
22.6,20.7,-2.31854118399463
22.7,20.7,-2.3064909023812
22.8,20.7,-2.29437948688308
22.9,20.7,-2.28221420716532
23,20.7,-2.27000227214642
23.1,20.7,-2.25775080571566
23.2,20.7,-2.24546681106329
23.3,20.7,-2.23315714866088
23.4,20.7,-2.2208285162199
23.5,20.7,-2.20848741216834
23.6,20.7,-2.1961401117846
23.7,20.7,-2.18379265484279
23.8,20.7,-2.17145081420873
23.9,20.7,-2.15912006386175
24,20.7,-2.14680557556961
24.1,20.7,-2.13451219772938
24.2,20.7,-2.12224441550188
24.3,20.7,-2.11000635191799
24.4,20.7,-2.0978017592757
24.5,20.7,-2.08563398109595
24.6,20.7,-2.07350594619302
24.7,20.7,-2.06142017506209
24.8,20.7,-2.04937875326328
24.9,20.7,-2.03738331156319
25,20.7,-2.0254350456503
10,20.8,-3.12605676811049
10.1,20.8,-3.11870416231777
10.2,20.8,-3.11135155652506
10.3,20.8,-3.10399895073234
10.4,20.8,-3.09664634493963
10.5,20.8,-3.08929373914691
10.6,20.8,-3.0819411333542
10.7,20.8,-3.07458852756148
10.8,20.8,-3.06723592176877
10.9,20.8,-3.05988331597605
11,20.8,-3.05253071018334
11.1,20.8,-3.04517824139408
11.2,20.8,-3.03782663182144
11.3,20.8,-3.03047736595856
11.4,20.8,-3.02313270154429
11.5,20.8,-3.01579563387053
11.6,20.8,-3.00846979192823
11.7,20.8,-3.00115934719844
11.8,20.8,-2.99386896906618
11.9,20.8,-2.98660375486065
12,20.8,-2.97936914015046
12.1,20.8,-2.97217084810691
12.2,20.8,-2.96501483512167
12.3,20.8,-2.95790721456352
12.4,20.8,-2.95085420664796
12.5,20.8,-2.94386208750662
12.6,20.8,-2.93693712829975
12.7,20.8,-2.9300855513262
12.8,20.8,-2.92331348360222
12.9,20.8,-2.91662690217229
13,20.8,-2.91003160170799
13.1,20.8,-2.90353315795461
13.2,20.8,-2.8971368726354
13.3,20.8,-2.89084775139469
13.4,20.8,-2.88467048082258
13.5,20.8,-2.87860937776116
13.6,20.8,-2.87266836663326
13.7,20.8,-2.86685097350311
13.8,20.8,-2.86116028852092
13.9,20.8,-2.85559893289311
14,20.8,-2.85016906931346
14.1,20.8,-2.84487238299478
14.2,20.8,-2.83971004004324
14.3,20.8,-2.83468270513572
14.4,20.8,-2.82979054194171
14.5,20.8,-2.82503317671983
14.6,20.8,-2.82040967756938
14.7,20.8,-2.81591823250078
14.8,20.8,-2.81155624543391
14.9,20.8,-2.80732057869598
15,20.8,-2.80320759448076
15.1,20.8,-2.79921315429055
15.2,20.8,-2.79533260069149
15.3,20.8,-2.79156079763763
15.4,20.8,-2.78789214791882
15.5,20.8,-2.78432058012555
15.6,20.8,-2.78083957794851
15.7,20.8,-2.77744221412532
15.8,20.8,-2.77412115108499
15.9,20.8,-2.77086865575344
16,20.8,-2.76767664395445
16.1,20.8,-2.76453669532689
16.2,20.8,-2.76144006147505
16.3,20.8,-2.75837771090653
16.4,20.8,-2.75534035487892
16.5,20.8,-2.75231845966025
16.6,20.8,-2.74930228364067
16.7,20.8,-2.74628191094674
16.8,20.8,-2.74324727086332
16.9,20.8,-2.74018816840757
17,20.8,-2.73709432037076
17.1,20.8,-2.7339553794151
17.2,20.8,-2.73076096415897
17.3,20.8,-2.72750069294247
17.4,20.8,-2.724164208795
17.5,20.8,-2.72074121163708
17.6,20.8,-2.71722149039124
17.7,20.8,-2.71359494509094
17.8,20.8,-2.70985161794753
17.9,20.8,-2.70598172912645
18,20.8,-2.70197569305316
18.1,20.8,-2.6978241436392
18.2,20.8,-2.69351805244743
18.3,20.8,-2.68904994867842
18.4,20.8,-2.68441371687307
18.5,20.8,-2.67960357471219
18.6,20.8,-2.67461378986783
18.7,20.8,-2.66943881336096
18.8,20.8,-2.6640734799583
18.9,20.8,-2.65851304002271
19,20.8,-2.65275315180791
19.1,20.8,-2.64678990009978
19.2,20.8,-2.64061983645552
19.3,20.8,-2.63423996699882
19.4,20.8,-2.6276477553251
19.5,20.8,-2.62084116018129
19.6,20.8,-2.61381863311244
19.7,20.8,-2.60657910391255
19.8,20.8,-2.59912200487104
19.9,20.8,-2.59144728550999
20,20.8,-2.58355538376331
20.1,20.8,-2.57544723224432
20.2,20.8,-2.56712428425766
20.3,20.8,-2.55858848134953
20.4,20.8,-2.54984224209906
20.5,20.8,-2.54088848407383
20.6,20.8,-2.53173060281143
20.7,20.8,-2.5223724434377
20.8,20.8,-2.51281830877282
20.9,20.8,-2.50307295447354
21,20.8,-2.4931415486116
21.1,20.8,-2.48302966378854
21.2,20.8,-2.47274328090295
21.3,20.8,-2.4622887471114
21.4,20.8,-2.45167275430873
21.5,20.8,-2.44090233865561
21.6,20.8,-2.42998484789046
21.7,20.8,-2.41892790836639
21.8,20.8,-2.40773941471764
21.9,20.8,-2.39642750718432
22,20.8,-2.38500019431335
22.1,20.8,-2.37346457833274
22.2,20.8,-2.36182770906107
22.3,20.8,-2.35009676630895
22.4,20.8,-2.33827900583747
22.5,20.8,-2.32638168570661
22.6,20.8,-2.31441206397639
22.7,20.8,-2.30237739870682
22.8,20.8,-2.29028494237813
22.9,20.8,-2.27814191159466
23,20.8,-2.26595546221419
23.1,20.8,-2.25373266506527
23.2,20.8,-2.24148047027743
23.3,20.8,-2.22920568526152
23.4,20.8,-2.21691495466828
23.5,20.8,-2.20461472386498
23.6,20.8,-2.1923112150693
23.7,20.8,-2.18001041499461
23.8,20.8,-2.16771804344602
23.9,20.8,-2.15543952134214
24,20.8,-2.14317996739
24.1,20.8,-2.13094417692595
24.2,20.8,-2.11873658205008
24.3,20.8,-2.10656125273255
24.4,20.8,-2.09442188821063
24.5,20.8,-2.08232177894453
24.6,20.8,-2.07026380068782
24.7,20.8,-2.05825042087493
24.8,20.8,-2.04628367200528
24.9,20.8,-2.03436513178474
25,20.8,-2.02249594284106
10,20.9,-3.11772679473447
10.1,20.9,-3.11045770607764
10.2,20.9,-3.1031886174208
10.3,20.9,-3.09591952876396
10.4,20.9,-3.08865044010712
10.5,20.9,-3.08138135145028
10.6,20.9,-3.07411226279345
10.7,20.9,-3.06684317413661
10.8,20.9,-3.05957408547977
10.9,20.9,-3.05230499682293
11,20.9,-3.04503590816609
11.1,20.9,-3.03776695471759
11.2,20.9,-3.03049884971504
11.3,20.9,-3.02323306688088
11.4,20.9,-3.01597185318329
11.5,20.9,-3.00871819314348
11.6,20.9,-3.00147570498172
11.7,20.9,-2.9942485494084
11.8,20.9,-2.98704138503783
11.9,20.9,-2.97985929842854
12,20.9,-2.97270771437846
12.1,20.9,-2.96559234528821
12.2,20.9,-2.95851913677877
12.3,20.9,-2.95149419144826
12.4,20.9,-2.94452371874148
12.5,20.9,-2.93761398401938
12.6,20.9,-2.93077124767153
12.7,20.9,-2.92400172122611
12.8,20.9,-2.91731152092867
12.9,20.9,-2.91070661305303
13,20.9,-2.90419278150007
13.1,20.9,-2.8977755912444
13.2,20.9,-2.89146033323861
13.3,20.9,-2.88525200235633
13.4,20.9,-2.87915527441698
13.5,20.9,-2.87317445549197
13.6,20.9,-2.86731345923346
13.7,20.9,-2.86157580093498
13.8,20.9,-2.85596455997608
13.9,20.9,-2.85048234679248
14,20.9,-2.84513131330728
14.1,20.9,-2.83991313396262
14.2,20.9,-2.83482896409398
14.3,20.9,-2.82987945760757
14.4,20.9,-2.82506476740219
14.5,20.9,-2.82038450896579
14.6,20.9,-2.81583773550011
14.7,20.9,-2.81142256774844
14.8,20.9,-2.80713630636539
14.9,20.9,-2.80297570970527
15,20.9,-2.79893703598897
15.1,20.9,-2.79501604274587
15.2,20.9,-2.79120796856927
15.3,20.9,-2.78750757344029
15.4,20.9,-2.7839091561759
15.5,20.9,-2.7804065413937
15.6,20.9,-2.77699310881151
15.7,20.9,-2.77366182719404
15.8,20.9,-2.77040525499741
15.9,20.9,-2.76721555517465
16,20.9,-2.76408453957666
16.1,20.9,-2.76100368386941
16.2,20.9,-2.75796413568432
16.3,20.9,-2.75495675955606
16.4,20.9,-2.75197216276938
16.5,20.9,-2.74900070761938
