场景,检测误差SD,组别,BMI区间,人数,最佳NIPT时点,周+天,平均可靠性,10%分位可靠性,最小可靠性,检测失败风险,延迟风险,Minimax风险,相对无误差时点变化
无误差,0.0,1,"[20.70, 32.09]",158,13.9,13周+6天,0.8737574756892956,0.8695837399906103,0.7049219970991334,0.12624252431070437,0.12666666666666668,0.12666666666666668,0.0
无误差,0.0,2,"(32.09, 35.22]",79,14.1,14周+1天,0.853525007926395,0.8346874791967679,0.8233544977557687,0.14647499207360504,0.13999999999999999,0.14647499207360504,0.0
无误差,0.0,3,"(35.22, 46.88]",30,15.4,15周+3天,0.7708637450169117,0.6956068726649679,0.3170840962766811,0.22913625498308832,0.22666666666666668,0.22913625498308832,0.0
0.75σ,0.0045949087377537,1,"[20.70, 32.09]",158,13.9,13周+6天,0.870013675860959,0.865830317360376,0.7033065918465635,0.129986324139041,0.12666666666666668,0.129986324139041,0.0
0.75σ,0.0045949087377537,2,"(32.09, 35.22]",79,14.2,14周+1天,0.8523564898542081,0.8338769478531939,0.8227934037862623,0.1476435101457919,0.1466666666666666,0.1476435101457919,0.09999999999999964
0.75σ,0.0045949087377537,3,"(35.22, 46.88]",30,15.4,15周+3天,0.7684029719090142,0.6941911143841716,0.3246289099665301,0.2315970280909858,0.22666666666666668,0.2315970280909858,0.0
1.00σ,0.0061265449836716,1,"[20.70, 32.09]",158,13.9,13周+6天,0.867191890414544,0.8630006838335827,0.7019972192996873,0.13280810958545597,0.12666666666666668,0.13280810958545597,0.0
1.00σ,0.0061265449836716,2,"(32.09, 35.22]",79,14.2,14周+1天,0.8495627430233528,0.8311478774111228,0.8201284993921348,0.15043725697664723,0.1466666666666666,0.15043725697664723,0.09999999999999964
1.00σ,0.0061265449836716,3,"(35.22, 46.88]",30,15.5,15周+4天,0.7687043911194168,0.696152959083502,0.3368917057175066,0.2312956088805832,0.23333333333333334,0.23333333333333334,0.09999999999999964
1.25σ,0.0076581812295895,1,"[20.70, 32.09]",158,14.0,14周+0天,0.8651656108909392,0.8614321130727514,0.703810288485257,0.13483438910906076,0.13333333333333333,0.13483438910906076,0.09999999999999964
1.25σ,0.0076581812295895,2,"(32.09, 35.22]",79,14.3,14周+2天,0.8484799246587924,0.8303561826007807,0.8195440119784122,0.1515200753412076,0.15333333333333338,0.15333333333333338,0.20000000000000107
1.25σ,0.0076581812295895,3,"(35.22, 46.88]",30,15.5,15周+4天,0.766261672580107,0.6945358310154309,0.3434134385537346,0.23373832741989298,0.23333333333333334,0.23373832741989298,0.09999999999999964
