scenario,K,total_curve_error,marginal_improvement_pct,min_group_N,max_group_N,cutpoints,selected
no_error,2,5.876550985838946,,30,237,35.2209,False
no_error,3,4.810042564094999,18.148543666412017,30,158,32.0932; 35.2209,True
no_error,4,4.613501937749959,4.086047550018286,30,138,31.5045; 33.4894; 35.2209,False
no_error,5,4.542660705055084,1.5355197342655602,30,122,30.9087; 32.2769; 33.6164; 35.2209,False
measurement_0_75,2,5.684148296798071,,30,237,35.2209,False
measurement_0_75,3,4.639297404457125,18.381837309373502,30,158,32.0932; 35.2209,False
measurement_0_75,4,4.446085879061798,4.164672116292921,30,138,31.5045; 33.4894; 35.2209,False
measurement_0_75,5,4.376183286636831,1.572227670053855,30,122,30.9087; 32.2769; 33.6164; 35.2209,False
measurement_1_00,2,5.543618965588735,,30,237,35.2209,False
measurement_1_00,3,4.513654525487254,18.57927910440536,30,158,32.0932; 35.2209,False
measurement_1_00,4,4.322713048258606,4.230307750636627,30,138,31.5045; 33.4894; 35.2209,False
measurement_1_00,5,4.253433783096,1.6026801776841368,30,122,30.9087; 32.2769; 33.6164; 35.2209,False
measurement_1_25,2,5.374125171558035,,30,237,35.2209,False
measurement_1_25,3,4.36115861055157,18.84895734039614,30,158,32.0932; 35.2209,False
measurement_1_25,4,4.172789053226552,4.319254907841891,30,138,31.5045; 33.4894; 35.2209,False
measurement_1_25,5,4.104196737261418,1.6438002278618844,30,122,30.9087; 32.2769; 33.6164; 35.2209,False
