scenario,K,Group,BMI_lower,BMI_upper,observed_BMI_min,observed_BMI_max,N,group_curve_cost
no_error,2,1,20.703125,35.2208681140727,20.703125,35.15625,237,1.7426829902142345
no_error,2,2,35.2208681140727,46.875,35.2854862281454,46.875,30,4.133867995624712
no_error,3,1,20.703125,32.0931884444288,20.703125,32.05128205,158,0.4689172902947121
no_error,3,2,32.0931884444288,35.2208681140727,32.1350948388576,35.15625,79,0.20725727817557527
no_error,3,3,35.2208681140727,46.875,35.2854862281454,46.875,30,4.133867995624712
no_error,4,1,20.703125,31.5045234250675,20.703125,31.4499376707056,138,0.37941141715373305
no_error,4,2,31.5045234250675,33.48942369335015,31.5591091794294,33.46222487,67,0.06468457239577674
no_error,4,3,33.48942369335015,35.2208681140727,33.5166225167003,35.15625,32,0.03553795257573711
no_error,4,4,35.2208681140727,46.875,35.2854862281454,46.875,30,4.133867995624712
no_error,5,1,20.703125,30.90865332054825,20.703125,30.86303587,122,0.34482442661578716
no_error,5,2,30.90865332054825,32.2768860333865,30.9542707710965,32.24206349,39,0.012538461848635052
no_error,5,3,32.2768860333865,33.6163850333305,32.311708576773,33.517889736661,46,0.02114736583882859
no_error,5,4,33.6163850333305,35.2208681140727,33.71488033,35.15625,30,0.030282455127121466
no_error,5,5,35.2208681140727,46.875,35.2854862281454,46.875,30,4.133867995624712
measurement_0_75,2,1,20.703125,35.2208681140727,20.703125,35.15625,237,1.70678215665248
measurement_0_75,2,2,35.2208681140727,46.875,35.2854862281454,46.875,30,3.977366140145591
measurement_0_75,3,1,20.703125,32.0931884444288,20.703125,32.05128205,158,0.45902605241167294
measurement_0_75,3,2,32.0931884444288,35.2208681140727,32.1350948388576,35.15625,79,0.20290521189986066
measurement_0_75,3,3,35.2208681140727,46.875,35.2854862281454,46.875,30,3.977366140145591
measurement_0_75,4,1,20.703125,31.5045234250675,20.703125,31.4499376707056,138,0.3705909710740798
measurement_0_75,4,2,31.5045234250675,33.48942369335015,31.5591091794294,33.46222487,67,0.06345283451958039
measurement_0_75,4,3,33.48942369335015,35.2208681140727,33.5166225167003,35.15625,32,0.03467593332254637
measurement_0_75,4,4,35.2208681140727,46.875,35.2854862281454,46.875,30,3.977366140145591
measurement_0_75,5,1,20.703125,30.90865332054825,20.703125,30.86303587,122,0.3362105808880642
measurement_0_75,5,2,30.90865332054825,32.2768860333865,30.9542707710965,32.24206349,39,0.012307492671880027
measurement_0_75,5,3,32.2768860333865,33.6163850333305,32.311708576773,33.517889736661,46,0.02076156408929819
measurement_0_75,5,4,33.6163850333305,35.2208681140727,33.71488033,35.15625,30,0.02953750884199735
measurement_0_75,5,5,35.2208681140727,46.875,35.2854862281454,46.875,30,3.977366140145591
measurement_1_00,2,1,20.703125,35.2208681140727,20.703125,35.15625,237,1.6820241197988253
measurement_1_00,2,2,35.2208681140727,46.875,35.2854862281454,46.875,30,3.8615948457899094
measurement_1_00,3,1,20.703125,32.0931884444288,20.703125,32.05128205,158,0.4521812779832999
measurement_1_00,3,2,32.0931884444288,35.2208681140727,32.1350948388576,35.15625,79,0.19987840171404514
measurement_1_00,3,3,35.2208681140727,46.875,35.2854862281454,46.875,30,3.8615948457899094
measurement_1_00,4,1,20.703125,31.5045234250675,20.703125,31.4499376707056,138,0.36444102156883673
measurement_1_00,4,2,31.5045234250675,33.48942369335015,31.5591091794294,33.46222487,67,0.06260472683129592
measurement_1_00,4,3,33.48942369335015,35.2208681140727,33.5166225167003,35.15625,32,0.034072454068564184
measurement_1_00,4,4,35.2208681140727,46.875,35.2854862281454,46.875,30,3.8615948457899094
measurement_1_00,5,1,20.703125,30.90865332054825,20.703125,30.86303587,122,0.33017736677720677
measurement_1_00,5,2,30.90865332054825,32.2768860333865,30.9542707710965,32.24206349,39,0.01215015996422153
measurement_1_00,5,3,32.2768860333865,33.6163850333305,32.311708576773,33.517889736661,46,0.020495682118962577
measurement_1_00,5,4,33.6163850333305,35.2208681140727,33.71488033,35.15625,30,0.02901572844569955
measurement_1_00,5,5,35.2208681140727,46.875,35.2854862281454,46.875,30,3.8615948457899094
measurement_1_25,2,1,20.703125,35.2208681140727,20.703125,35.15625,237,1.653664245118307
measurement_1_25,2,2,35.2208681140727,46.875,35.2854862281454,46.875,30,3.7204609264397277
measurement_1_25,3,1,20.703125,32.0931884444288,20.703125,32.05128205,158,0.4443176120901171
measurement_1_25,3,2,32.0931884444288,35.2208681140727,32.1350948388576,35.15625,79,0.19638007202172503
measurement_1_25,3,3,35.2208681140727,46.875,35.2854862281454,46.875,30,3.7204609264397277
measurement_1_25,4,1,20.703125,31.5045234250675,20.703125,31.4499376707056,138,0.35732327117511886
measurement_1_25,4,2,31.5045234250675,33.48942369335015,31.5591091794294,33.46222487,67,0.06163403472214668
measurement_1_25,4,3,33.48942369335015,35.2208681140727,33.5166225167003,35.15625,32,0.03337082088955867
measurement_1_25,4,4,35.2208681140727,46.875,35.2854862281454,46.875,30,3.7204609264397277
measurement_1_25,5,1,20.703125,30.90865332054825,20.703125,30.86303587,122,0.32316386083493853
measurement_1_25,5,2,30.90865332054825,32.2768860333865,30.9542707710965,32.24206349,39,0.011972119659048985
measurement_1_25,5,3,32.2768860333865,33.6163850333305,32.311708576773,33.517889736661,46,0.02019101107998722
measurement_1_25,5,4,33.6163850333305,35.2208681140727,33.71488033,35.15625,30,0.028408819247715655
measurement_1_25,5,5,35.2208681140727,46.875,35.2854862281454,46.875,30,3.7204609264397277
