BMI,GA,reliability
20.7,10.0,0.5012228581056581
20.7,10.1,0.5069681455388516
20.7,10.2,0.5127153056152671
20.7,10.3,0.5184631257078783
20.7,10.4,0.5242103904919138
20.7,10.5,0.5299558843149141
20.7,10.6,0.535698390584306
20.7,10.7,0.5414366914587191
20.7,10.8,0.547169570850705
20.7,10.9,0.5528958140287243
20.7,11.0,0.5586142082869731
20.7,11.1,0.5643234382564266
20.7,11.2,0.5700217390977544
20.7,11.3,0.5757067727972038
20.7,11.4,0.5813756293091216
20.7,11.5,0.5870248622147137
20.7,11.6,0.5926505826973818
20.7,11.7,0.5982485378662978
20.7,11.8,0.6038141587205684
20.7,11.9,0.6093426291720366
20.7,12.0,0.6148289582097438
20.7,12.1,0.6202680329102376
20.7,12.2,0.6256546773973576
20.7,12.3,0.6309837047588133
20.7,12.4,0.6362499789538091
20.7,12.5,0.6414484507498297
20.7,12.6,0.6465742087617723
20.7,12.7,0.6516225194822383
20.7,12.8,0.6565888627627456
20.7,12.9,0.6614689704829544
20.7,13.0,0.6662588485617902
20.7,13.1,0.6709548044219654
20.7,13.2,0.6755534777097287
20.7,13.3,0.6800518502944239
20.7,13.4,0.6844472549439288
20.7,13.5,0.688737404894618
20.7,13.6,0.692920392560535
20.7,13.7,0.6969946880162243
20.7,13.8,0.7009591498510606
20.7,13.9,0.7048130347806589
20.7,14.0,0.7085559781098608
20.7,14.1,0.7121879904045001
20.7,14.2,0.7157094725681346
20.7,14.3,0.7191211905492365
20.7,14.4,0.7224242598420264
20.7,14.5,0.7256201574519345
20.7,14.6,0.728710719977169
20.7,14.7,0.7316983057047697
20.7,14.8,0.7345857320219362
20.7,14.9,0.7373761214441761
20.7,15.0,0.7400728698603373
20.7,15.1,0.7426796354979512
20.7,15.2,0.7452003455547547
20.7,15.3,0.7476391599147919
20.7,15.4,0.7500004572853143
20.7,15.5,0.7522888359195811
20.7,15.6,0.7545090931125258
20.7,15.7,0.7566661961841602
20.7,15.8,0.7587652832485482
20.7,15.9,0.7608116465494572
20.7,16.0,0.7628107067293732
20.7,16.1,0.7647679994747056
20.7,16.2,0.7666891669477047
20.7,16.3,0.7685799319533806
20.7,16.4,0.7704460765321953
20.7,16.5,0.7722934353659848
20.7,16.6,0.7741278683692587
20.7,16.7,0.7759552405282218
20.7,16.8,0.777781404870869
20.7,16.9,0.779612182585305
20.7,17.0,0.7814533355118698
20.7,17.1,0.7833105498389091
20.7,17.2,0.7851894124713689
20.7,17.3,0.7870953839459487
20.7,17.4,0.7890337811088707
20.7,17.5,0.7910097480156216
20.7,17.6,0.7930282336464156
20.7,17.7,0.7950939687105257
20.7,17.8,0.7972114429415821
20.7,17.9,0.799384873185377
20.7,18.0,0.8016181882068977
20.7,18.1,0.8039150043287265
20.7,18.2,0.8062785590383523
20.7,18.3,0.8087111230538288
20.7,18.4,0.8112141116318785
20.7,18.5,0.8137885720240011
20.7,18.6,0.8164353336139006
20.7,18.7,0.8191549238545366
20.7,18.8,0.82194746071457
20.7,18.9,0.8248126354184219
20.7,19.0,0.8277497186798036
20.7,19.1,0.8307575521759727
20.7,19.2,0.83383453702245
20.7,19.3,0.8369786431719085
20.7,19.4,0.8401874205402882
20.7,19.5,0.843457988061618
20.7,19.6,0.8467870539771085
20.7,19.7,0.8501709340342862
20.7,19.8,0.8536055619826066
20.7,19.9,0.8570865027355948
20.7,20.0,0.8606089870057375
20.7,20.1,0.8641679389618897
20.7,20.2,0.867757988068894
20.7,20.3,0.8713735139126064
20.7,20.4,0.8750086846577461
20.7,20.5,0.8786574814429005
20.7,20.6,0.8823137375274008
20.7,20.7,0.8859711914227661
20.7,20.8,0.8896235136352661
20.7,20.9,0.8932643502634555
20.7,21.0,0.8968873733255041
20.7,21.1,0.9004863185976364
20.7,21.2,0.9040550208225724
20.7,21.3,0.9075874597091373
20.7,21.4,0.9110778040415101
20.7,21.5,0.9145204360991908
20.7,21.6,0.9179099955651341
20.7,21.7,0.9212414085671563
20.7,21.8,0.9245099168725671
20.7,21.9,0.927711098986757
20.7,22.0,0.9308409757637909
20.7,22.1,0.9338961756143223
20.7,22.2,0.9368737218953087
20.7,22.3,0.9397709953072557
20.7,22.4,0.9425857440899886
20.7,22.5,0.9453160996301679
20.7,22.6,0.9479605673430909
20.7,22.7,0.95051801563126
20.7,22.8,0.9529876648712092
20.7,22.9,0.9553690782974695
20.7,23.0,0.9576621502821165
20.7,23.1,0.9598670921921796
20.7,23.2,0.9619844162299488
20.7,23.3,0.9640149179664028
20.7,23.4,0.9659596545999869
20.7,23.5,0.9678199271241702
20.7,23.6,0.969597257218985
20.7,23.7,0.9712933639917107
20.7,23.8,0.9729101433986065
20.7,23.9,0.9744496452503738
20.7,24.0,0.9759140505040378
20.7,24.1,0.9773056495387736
20.7,24.2,0.9786268229393961
20.7,24.3,0.9798800194692785
20.7,24.4,0.9810677375320689
20.7,24.5,0.9821925084969342
20.7,24.6,0.9832568796854275
20.7,24.7,0.9842633980477802
20.7,24.8,0.9852145965594197
20.7,24.9,0.9861129843629375
20.7,25.0,0.9869610319453581
20.8,10.0,0.5076609366555772
20.8,10.1,0.5133436548008032
20.8,10.2,0.5190268897097071
20.8,10.3,0.524709466254593
20.8,10.4,0.5303902067489792
20.8,10.5,0.5360679360507945
20.8,10.6,0.5417414783941927
20.8,10.7,0.5474096566441407
20.8,10.8,0.5530712958939875
20.8,10.9,0.5587252270483296
20.8,11.0,0.5643702801754807
20.8,11.1,0.5700051837139113
20.8,11.2,0.5756282287185577
20.8,11.3,0.5812371325791343
20.8,11.4,0.5868290417386046
20.8,11.5,0.5924005736194579
20.8,11.6,0.5979479052207908
20.8,11.7,0.6034668497062603
20.8,11.8,0.6089529112934532
20.8,11.9,0.6144013448457194
20.8,12.0,0.6198072346802318
20.8,12.1,0.6251655493198558
20.8,12.2,0.6304711886229731
20.8,12.3,0.6357190488877661
20.8,12.4,0.640904075068557
20.8,12.5,0.6460212992381135
20.8,12.6,0.651065893718738
20.8,12.7,0.6560332051697297
20.8,12.8,0.6609187920510393
20.8,12.9,0.665718465995196
20.8,13.0,0.6704283093767861
20.8,13.1,0.6750447015234236
20.8,13.2,0.6795643522532742
20.8,13.3,0.683984310496465
20.8,13.4,0.6883019730268309
20.8,13.5,0.6925151099760656
20.8,13.6,0.6966218691900619
20.8,13.7,0.7006207705594297
20.8,13.8,0.7045107175263342
20.8,13.9,0.7082910070324351
20.8,14.0,0.7119613088792123
20.8,14.1,0.7155216645455739
20.8,14.2,0.718972500601573
20.8,14.3,0.7223146039736039
20.8,14.4,0.7255491062096106
20.8,14.5,0.7286774960812736
20.8,14.6,0.7317016183972814
20.8,14.7,0.7346238723090032
20.8,14.8,0.7374471301975294
20.8,14.9,0.7401745672242956
