scenario,K,total_curve_error,marginal_improvement_pct,min_group_N,max_group_N,cutpoints,selected
no_error,2,10.618959897733816,,30,237,35.2209,True
no_error,3,9.680441000116502,8.838143346012659,30,146,31.7432; 35.2209,False
no_error,4,9.472494528515426,2.148109487972434,30,113,28.9958; 31.7432; 35.2209,False
no_error,5,9.307378223192643,1.7431132298438088,30,113,28.9958; 31.7432; 33.3978; 35.2209,False
measurement_0_75,2,10.371555422428685,,30,237,35.2209,False
measurement_0_75,3,9.451998725182705,8.8661407068936,30,146,31.7432; 35.2209,False
measurement_0_75,4,9.244702076427359,2.1931514675626325,30,113,28.9958; 31.7432; 35.2209,False
measurement_0_75,5,9.082040000026439,1.759516694601602,30,113,28.9958; 31.7432; 33.3978; 35.2209,False
measurement_1_00,2,10.194523223079386,,30,237,35.2209,False
measurement_1_00,3,9.287976464896019,8.892488038391395,30,146,31.7432; 35.2209,False
measurement_1_00,4,9.081053712143728,2.2278561270515427,30,113,28.9958; 31.7432; 35.2209,False
measurement_1_00,5,8.920058734347606,1.7728667057747916,30,113,28.9958; 31.7432; 33.3978; 35.2209,False
measurement_1_25,2,9.98475293149869,,30,237,35.2209,False
measurement_1_25,3,9.093034849661365,8.930797666752886,30,146,31.7432; 35.2209,False
measurement_1_25,4,8.886468852001826,2.2716947759991393,30,113,28.9958; 31.7432; 35.2209,False
measurement_1_25,5,8.727358672641344,1.7904769825940465,30,113,28.9958; 31.7432; 33.3978; 35.2209,False
