scenario,K,Group,BMI_interval,observed_BMI_min,observed_BMI_max,N,group_curve_cost
no_error,2,1,"[20.70, 35.22]",20.703125,35.15625,237,5.836517292328153
no_error,2,2,"(35.22, 46.88]",35.2854862281454,46.875,30,4.782442605405663
no_error,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.615573687943879
no_error,3,2,"(31.74, 35.22]",31.7535201,35.15625,91,2.2824247067669603
no_error,3,3,"(35.22, 46.88]",35.2854862281454,46.875,30,4.782442605405663
no_error,4,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.9158380970076223
no_error,4,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.4917891193351807
no_error,4,3,"(31.74, 35.22]",31.7535201,35.15625,91,2.2824247067669603
no_error,4,4,"(35.22, 46.88]",35.2854862281454,46.875,30,4.782442605405663
no_error,5,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.9158380970076223
no_error,5,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.4917891193351807
no_error,5,3,"(31.74, 33.40]",31.7535201,33.3864536680302,56,1.54750757827685
no_error,5,4,"(33.40, 35.22]",33.40920489,35.15625,35,0.569800823167327
no_error,5,5,"(35.22, 46.88]",35.2854862281454,46.875,30,4.782442605405663
measurement_0_75,2,1,"[20.70, 35.22]",20.703125,35.15625,237,5.765961510832767
measurement_0_75,2,2,"(35.22, 46.88]",35.2854862281454,46.875,30,4.605593911595918
measurement_0_75,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.5966908424920803
measurement_0_75,3,2,"(31.74, 35.22]",31.7535201,35.15625,91,2.2497139710947067
measurement_0_75,3,3,"(35.22, 46.88]",35.2854862281454,46.875,30,4.605593911595918
measurement_0_75,4,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.9028772269680303
measurement_0_75,4,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.4865169667687042
measurement_0_75,4,3,"(31.74, 35.22]",31.7535201,35.15625,91,2.2497139710947067
measurement_0_75,4,4,"(35.22, 46.88]",35.2854862281454,46.875,30,4.605593911595918
measurement_0_75,5,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.9028772269680303
measurement_0_75,5,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.4865169667687042
measurement_0_75,5,3,"(31.74, 33.40]",31.7535201,33.3864536680302,56,1.5278758368830268
measurement_0_75,5,4,"(33.40, 35.22]",33.40920489,35.15625,35,0.5591760578107596
measurement_0_75,5,5,"(35.22, 46.88]",35.2854862281454,46.875,30,4.605593911595918
measurement_1_00,2,1,"[20.70, 35.22]",20.703125,35.15625,237,5.718736288855325
measurement_1_00,2,2,"(35.22, 46.88]",35.2854862281454,46.875,30,4.475786934224061
measurement_1_00,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.584665389826114
measurement_1_00,3,2,"(31.74, 35.22]",31.7535201,35.15625,91,2.227524140845844
measurement_1_00,3,3,"(35.22, 46.88]",35.2854862281454,46.875,30,4.475786934224061
measurement_1_00,4,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.8940500889954706
measurement_1_00,4,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.483692548078352
measurement_1_00,4,3,"(31.74, 35.22]",31.7535201,35.15625,91,2.227524140845844
measurement_1_00,4,4,"(35.22, 46.88]",35.2854862281454,46.875,30,4.475786934224061
measurement_1_00,5,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.8940500889954706
measurement_1_00,5,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.483692548078352
measurement_1_00,5,3,"(31.74, 33.40]",31.7535201,33.3864536680302,56,1.5146785794307789
measurement_1_00,5,4,"(33.40, 35.22]",33.40920489,35.15625,35,0.5518505836189433
measurement_1_00,5,5,"(35.22, 46.88]",35.2854862281454,46.875,30,4.475786934224061
measurement_1_25,2,1,"[20.70, 35.22]",20.703125,35.15625,237,5.666125207053938
measurement_1_25,2,2,"(35.22, 46.88]",35.2854862281454,46.875,30,4.318627724444752
measurement_1_25,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.5719236018330776
measurement_1_25,3,2,"(31.74, 35.22]",31.7535201,35.15625,91,2.2024835233835347
measurement_1_25,3,3,"(35.22, 46.88]",35.2854862281454,46.875,30,4.318627724444752
measurement_1_25,4,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.8840377273392619
measurement_1_25,4,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.4813198768342772
measurement_1_25,4,3,"(31.74, 35.22]",31.7535201,35.15625,91,2.2024835233835347
measurement_1_25,4,4,"(35.22, 46.88]",35.2854862281454,46.875,30,4.318627724444752
measurement_1_25,5,1,"[20.70, 29.00]",20.703125,28.98114344,33,0.8840377273392619
measurement_1_25,5,2,"(29.00, 31.74]",29.0105368357815,31.7329413,113,1.4813198768342772
measurement_1_25,5,3,"(31.74, 33.40]",31.7535201,33.3864536680302,56,1.4999177135551918
measurement_1_25,5,4,"(33.40, 35.22]",33.40920489,35.15625,35,0.5434556304678608
measurement_1_25,5,5,"(35.22, 46.88]",35.2854862281454,46.875,30,4.318627724444752
