scenario,measurement_sd,K,Group,BMI_interval,N,cutpoints,group_curve_cost
no_error,0.0,3,1,"[20.70, 31.74]",146,31.7432; 36.0973,2.615573687943879
no_error,0.0,3,2,"(31.74, 36.10]",101,31.7432; 36.0973,2.617385503190917
no_error,0.0,3,3,"(36.10, 46.88]",20,31.7432; 36.0973,2.944662244286519
measurement_0_75,0.004594908737754,3,1,"[20.70, 31.74]",146,31.7432; 36.0973,2.5966908424923076
measurement_0_75,0.004594908737754,3,2,"(31.74, 36.10]",101,31.7432; 36.0973,2.5773443522268735
measurement_0_75,0.004594908737754,3,3,"(36.10, 46.88]",20,31.7432; 36.0973,2.833073718599991
measurement_1_00,0.006126544983672,3,1,"[20.70, 31.74]",146,31.7432; 36.0973,2.584665389826114
measurement_1_00,0.006126544983672,3,2,"(31.74, 36.10]",101,31.7432; 36.0973,2.5500599132542447
measurement_1_00,0.006126544983672,3,3,"(36.10, 46.88]",20,31.7432; 36.0973,2.7502687539949306
measurement_1_25,0.00765818122959,3,1,"[20.70, 31.74]",146,31.7432; 36.0973,2.5719236018330776
measurement_1_25,0.00765818122959,3,2,"(31.74, 36.10]",101,31.7432; 36.0973,2.5191361491404223
measurement_1_25,0.00765818122959,3,3,"(36.10, 46.88]",20,31.7432; 36.0973,2.649091666384777
