scenario,Group,BMI_interval,N,t50,t70,t90,minimax_GA,week_day,mean_reliability,q10_reliability,min_reliability,detection_failure_risk,delay_risk,minimax_risk,group_curve_cost,measurement_sd,cutpoints,max_cutpoint_shift_vs_no_error,timing_shift_vs_no_error
no_error,1,"[20.70, 31.74]",146,10.0,10.0,17.2,13.8,13周+6天,0.8735200599427249,0.8041895484993604,0.689996322535552,0.12647994005727514,0.12000000000000005,0.12647994005727514,2.615573687943879,0.0,31.7432; 36.0973,0.0,0.0
no_error,2,"(31.74, 36.10]",101,10.0,10.6,18.1,14.1,14周+1天,0.8556971614225984,0.797894732187249,0.700688532881831,0.14430283857740156,0.13999999999999999,0.14430283857740156,2.617385503190917,0.0,31.7432; 36.0973,0.0,0.0
no_error,3,"(36.10, 46.88]",20,11.7,15.2,21.8,16.1,16周+1天,0.7261575486985061,0.6295631924087871,0.409793769685435,0.27384245130149387,0.27333333333333343,0.27384245130149387,2.944662244286519,0.0,31.7432; 36.0973,0.0,0.0
measurement_0_75,1,"[20.70, 31.74]",146,10.0,10.0,17.8,13.9,13周+6天,0.8712268255528788,0.80293613750547,0.692495832001508,0.12877317444712122,0.12666666666666668,0.12877317444712122,2.5966908424923076,0.004594908737754,31.7432; 36.0973,0.0,0.09999999999999964
measurement_0_75,2,"(31.74, 36.10]",101,10.0,10.6,18.8,14.2,14周+1天,0.8544720484286157,0.797635236558873,0.70271144157213,0.14552795157138432,0.1466666666666666,0.1466666666666666,2.5773443522268735,0.004594908737754,31.7432; 36.0973,0.0,0.09999999999999964
measurement_0_75,3,"(36.10, 46.88]",20,11.7,15.2,21.9,16.1,16周+1天,0.7242924541713056,0.6295933383373256,0.415463977115939,0.2757075458286944,0.27333333333333343,0.2757075458286944,2.833073718599991,0.004594908737754,31.7432; 36.0973,0.0,0.0
measurement_1_00,1,"[20.70, 31.74]",146,10.0,10.0,18.1,13.9,13周+6天,0.86839393382589,0.800287999479532,0.691257305114414,0.13160606617410997,0.12666666666666668,0.13160606617410997,2.584665389826114,0.006126544983672,31.7432; 36.0973,0.0,0.09999999999999964
measurement_1_00,2,"(31.74, 36.10]",101,10.0,10.6,19.2,14.2,14周+1天,0.8516678802545518,0.795033746643887,0.701311210133034,0.14833211974544824,0.1466666666666666,0.14833211974544824,2.5500599132542447,0.006126544983672,31.7432; 36.0973,0.0,0.09999999999999964
measurement_1_00,3,"(36.10, 46.88]",20,11.7,15.3,22.0,16.1,16周+1天,0.7228150286560652,0.6294736556992604,0.419507671112553,0.2771849713439348,0.27333333333333343,0.2771849713439348,2.7502687539949306,0.006126544983672,31.7432; 36.0973,0.0,0.0
measurement_1_25,1,"[20.70, 31.74]",146,10.0,10.0,18.5,14.0,14周+0天,0.8662718291685462,0.7985281033635955,0.693286207843208,0.13372817083145383,0.13333333333333333,0.13372817083145383,2.5719236018330776,0.00765818122959,31.7432; 36.0973,0.0,0.1999999999999993
measurement_1_25,2,"(31.74, 36.10]",101,10.0,10.6,19.6,14.2,14周+1天,0.8481706202812866,0.791769206387552,0.699469271658314,0.15182937971871335,0.1466666666666666,0.15182937971871335,2.5191361491404223,0.00765818122959,31.7432; 36.0973,0.0,0.09999999999999964
measurement_1_25,3,"(36.10, 46.88]",20,11.6,15.3,22.1,16.1,16周+1天,0.7208956726433777,0.6291663383484937,0.424262651807961,0.2791043273566223,0.27333333333333343,0.2791043273566223,2.649091666384777,0.00765818122959,31.7432; 36.0973,0.0,0.0
