scenario,K,Group,BMI_interval,observed_BMI_min,observed_BMI_max,N,group_curve_cost
no_error,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.615573687943879
no_error,3,2,"(31.74, 36.10]",31.7535201,35.94414543,101,2.617385503190917
no_error,3,3,"(36.10, 46.88]",36.25047023,46.875,20,2.944662244286519
measurement_0_75,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.5966908424923076
measurement_0_75,3,2,"(31.74, 36.10]",31.7535201,35.94414543,101,2.5773443522268735
measurement_0_75,3,3,"(36.10, 46.88]",36.25047023,46.875,20,2.833073718599991
measurement_1_00,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.584665389826114
measurement_1_00,3,2,"(31.74, 36.10]",31.7535201,35.94414543,101,2.5500599132542447
measurement_1_00,3,3,"(36.10, 46.88]",36.25047023,46.875,20,2.7502687539949306
measurement_1_25,3,1,"[20.70, 31.74]",20.703125,31.7329413,146,2.5719236018330776
measurement_1_25,3,2,"(31.74, 36.10]",31.7535201,35.94414543,101,2.5191361491404223
measurement_1_25,3,3,"(36.10, 46.88]",36.25047023,46.875,20,2.649091666384777
